"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"Cables","233","YLUX016XQM","YLUX016XQM","DC~6GHz SMA male to SMA female cable",""
"Cables","234","YLUX017XQA","YLUX017XQA","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 94",""
"Cables","235","YLUX017XQB","YLUX017XQB","DC~6GHz SMA male to SMA female cable",""
"Cables","236","YLUX017XQC","YLUX017XQC","DC~6GHz SMA male to SMA female cable",""
"Cables","237","YLUX017XQD","YLUX017XQD","DC~6GHz SMA male to SMA female cable",""
"Cables","238","YLUX017XQE","YLUX017XQE","DC~6GHz SMA male to SMA female cable",""
"Cables","239","YLUX017XQF","YLUX017XQF","DC~6GHz SMA male to SMA female cable",""
"Cables","240","YLUX017XQG","YLUX017XQG","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 95",""
"Cables","241","YLUX017XQH","YLUX017XQH","DC~6GHz SMA male to SMA female cable",""
"Cables","242","YLUX017XQJ","YLUX017XQJ","DC~6GHz SMA male to SMA female cable",""
"Cables","243","YLUX017XQK","YLUX017XQK","DC~6GHz SMA male to SMA female cable",""
"Cables","244","YLUX017XQL","YLUX017XQL","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 96",""
"Cables","245","YLUX017XQM","YLUX017XQM","DC~6GHz SMA male to SMA female cable",""
"Cables","246","YLUX030LLAM","YLUX030LLAM","DC~6GHz fakra female Code C to SMA female cable",""
"Cables","247","YLUX031NLAM","YLUX031NLAM","DC~6GHz fakra female Code C to SMA female cable",""
"Cables","248","YLUX032QLAM","YLUX032QLAM","DC~6GHz fakra female Code C to SMA female cable",""
"Cables","249","YLUX033ULAM","YLUX033ULAM","DC~6GHz fakra female Code C to SMA female cable",""
"Cables","250","YLUX034LLAM","YLUX034LLAM","DC~6GHz fakra female Code D to SMA female cable Cables & Connectors  |  Cables 97",""
"Cables","251","YLUX035NLAM","YLUX035NLAM","DC~6GHz fakra female Code D to SMA female cable",""
"Cables","252","YLUX036QLAM","YLUX036QLAM","DC~6GHz fakra female Code D to SMA female cable",""
